Headline,Link,Scraped At
Iran says US has responded to its latest peace proposal,https://www.bbc.com/news/articles/cn0px2x53k2o,2026-05-03 22:37:48
"Germany troop cuts send wrong signal to Russia, say two top US Republicans",https://www.bbc.com/news/articles/cewpx5yvwyxo,2026-05-03 22:37:48
"Love, lies, angry ghosts: Indians are bingeing on two-minute dramas",https://www.bbc.com/news/articles/c3v2k3xvr04o,2026-05-03 22:37:48
Voters will judge Trump on the economy - how is it doing?,https://www.bbc.com/news/articles/cgepyv20vrpo,2026-05-03 22:37:48
Russian strikes kill 10 as Zelensky says Ukraine hits oil tankers and terminal,https://www.bbc.com/news/articles/clyp41v1n1go,2026-05-03 22:37:48
Dragonflies in distress: Scientists sound alarm in India's ecological hotspot,https://www.bbc.com/news/articles/cx2107kzyreo,2026-05-03 22:37:48
The world wants to eliminate cervical cancer - how Australian scientists led the way,https://www.bbc.com/news/articles/cd6w15vgp7lo,2026-05-03 22:37:48
"Two US service members reported missing in Morocco, officials say",https://www.bbc.com/news/articles/cn7prznmllko,2026-05-03 22:37:48
Police officer lowered into crocodile-infested river to recover human remains,https://www.bbc.com/news/articles/cz92gk18xn4o,2026-05-03 22:37:48
Concern for jailed Iranian Nobel laureate as brother fears she is dying,https://www.bbc.com/news/articles/c362pd8epw9o,2026-05-03 22:37:48
The Iran war has strengthened Ukraine in surprising ways. Could a ceasefire with Russia be closer?,https://www.bbc.com/news/articles/cgjp7vpee03o,2026-05-03 22:37:48
Musk's AI told me people were coming to kill me. I grabbed a hammer and prepared for war,https://www.bbc.com/news/articles/c242pzr1zp2o,2026-05-03 22:37:48
Man charged with murder and sexual assault of 5-year-old Australian girl,https://www.bbc.com/news/articles/cy92qennznjo,2026-05-03 22:37:48
"From beds to LED masks, is the red light craze giving us more than just a warm glow?",https://www.bbc.com/news/articles/c2lw59jrdkxo,2026-05-03 22:37:48
The clandestine network smuggling Starlink tech into Iran to beat internet blackout,https://www.bbc.com/news/articles/cvgzk91leweo,2026-05-03 22:37:48
Is it advantage Arsenal in dramatic title race?,https://www.bbc.com/sport/football/articles/c6269y4gdlxo,2026-05-03 22:37:48
Dragonflies in distress: Scientists sound alarm in India's ecological hotspot,https://www.bbc.com/news/articles/cx2107kzyreo,2026-05-03 22:37:48
Laufey on making jazz cool again (and the fish that brought out her inner rage),https://www.bbc.com/news/articles/c99lvggdy4jo,2026-05-03 22:37:48
What death doulas can teach us about dying,https://www.bbc.com/news/articles/cp9vp0ld1leo,2026-05-03 22:37:48
Kenya battles to stop the 'goons and guns' as fears of political violence grow,https://www.bbc.com/news/articles/c9qdz0p0x5qo,2026-05-03 22:37:48
"Remarkable life of F1 legend Zanardi, a 21st century hero who inspired millions",https://www.bbc.com/sport/formula1/articles/c5y7x763wx5o,2026-05-03 22:37:48
Huge crowd attends free Shakira Copacabana beach concert,https://www.bbc.com/news/videos/c8r8j50zxnno,2026-05-03 22:37:48
How we reported in -30C temperatures in Canada's Arctic,https://www.bbc.com/news/videos/cvgz3pnn1ppo,2026-05-03 22:37:48
Sex attacker caught on CCTV exposing himself,https://www.bbc.com/news/videos/cg780kjpmrpo,2026-05-03 22:37:48
'Sex for grades': Undercover in West African universities,https://www.bbc.com/news/world-africa-49907376,2026-05-03 22:37:48
Two women die trying to cross English Channel in small boat,https://www.bbc.com/news/articles/cvgz6q7p7n7o,2026-05-03 22:37:48
How we reported in -30C temperatures in Canada's Arctic,https://www.bbc.com/news/videos/cvgz3pnn1ppo,2026-05-03 22:37:48
"'If we sleep, they bite': Rats and weasels infest camps for displaced Gazans",https://www.bbc.com/news/articles/c202m54xp0mo,2026-05-03 22:37:48
Cherie DeVaux became the first female trainer to win the Kentucky Derby,https://www.bbc.com/sport/horse-racing/articles/ce3plndgkreo,2026-05-03 22:37:48
King launches Space Agency project on final day in Bermuda,https://www.bbc.com/news/articles/cn4pvnpejw9o,2026-05-03 22:37:48
California to begin ticketing driverless cars that violate traffic laws,https://www.bbc.com/news/articles/clypjx3rg2go,2026-05-03 22:37:48
"Love, lies, angry ghosts: Indians are bingeing on two-minute dramas",https://www.bbc.com/news/articles/c3v2k3xvr04o,2026-05-03 22:37:48
US threatens shipping firms with sanctions if they pay Iran tolls,https://www.bbc.com/news/articles/c3v2l2qq9qlo,2026-05-03 22:37:48
Police officer lowered into crocodile-infested river to recover human remains,https://www.bbc.com/news/articles/cz92gk18xn4o,2026-05-03 22:37:48
"Two US service members reported missing in Morocco, officials say",https://www.bbc.com/news/articles/cn7prznmllko,2026-05-03 22:37:48
"Germany troop cuts send wrong signal to Russia, say two top US Republicans",https://www.bbc.com/news/articles/cewpx5yvwyxo,2026-05-03 22:37:48
Voters will judge Trump on the economy - how is it doing?,https://www.bbc.com/news/articles/cgepyv20vrpo,2026-05-03 22:37:48
Man charged with murder and sexual assault of 5-year-old Australian girl,https://www.bbc.com/news/articles/cy92qennznjo,2026-05-03 22:37:48
Russian strikes kill 10 as Zelensky says Ukraine hits oil tankers and terminal,https://www.bbc.com/news/articles/clyp41v1n1go,2026-05-03 22:37:48
The Iran war has strengthened Ukraine in surprising ways. Could a ceasefire with Russia be closer?,https://www.bbc.com/news/articles/cgjp7vpee03o,2026-05-03 22:37:48
Man and woman die and three injured in house blast,https://www.bbc.com/news/articles/c202w3lzdvjo,2026-05-03 22:37:48
"From beds to LED masks, is the red light craze giving us more than just a warm glow?",https://www.bbc.com/news/articles/c2lw59jrdkxo,2026-05-03 22:37:48
Musk's AI told me people were coming to kill me. I grabbed a hammer and prepared for war,https://www.bbc.com/news/articles/c242pzr1zp2o,2026-05-03 22:37:48
Ferguson taken to hospital as precaution before Man Utd v Liverpool,https://www.bbc.com/sport/football/articles/c0r2nvpvylxo,2026-05-03 22:37:48
Murphy & Wu level in world final after spectator ejected for jumping barrier,https://www.bbc.com/sport/snooker/articles/c202e1xw746o,2026-05-03 22:37:48
