Headline,Link,Scraped At
Some Iranians fear the regime is now more entrenched - and ready for revenge,https://www.bbc.com/news/articles/clyp6xxyvzyo,2026-05-04 11:45:49
Samsung family pays off record $8bn inheritance tax bill,https://www.bbc.com/news/articles/cn0px8g13xgo,2026-05-04 11:45:49
"Met Gala 2026: How to watch, the price of tickets and this year's theme",https://www.bbc.com/news/articles/cdrm7gp5er3o,2026-05-04 11:45:49
European leaders converge on Armenia as Russia looks on,https://www.bbc.com/news/articles/cgkp1124y3yo,2026-05-04 11:45:49
Antisemitism 'allowed to come into the open' says Bondi victim's daughter,https://www.bbc.com/news/articles/c1m2rk209mzo,2026-05-04 11:45:49
Former New York City mayor Rudy Giuliani in critical condition in hospital,https://www.bbc.com/news/articles/c7941rgy4lyo,2026-05-04 11:45:49
Taiwan president visits Eswatini days after blaming China for cancelled trip,https://www.bbc.com/news/articles/c809ln029ldo,2026-05-04 11:45:49
Man charged with murder of 5-year-old Australian girl,https://www.bbc.com/news/articles/cy92qennznjo,2026-05-04 11:45:49
Amsterdam bans public adverts for meat and fossil fuels,https://www.bbc.com/news/articles/c9wejdekpwyo,2026-05-04 11:45:49
Russian strikes kill 10 as Zelensky says Ukraine hits oil tankers and terminal,https://www.bbc.com/news/articles/clyp41v1n1go,2026-05-04 11:45:49
The Indian superstar taking a shot at political greatness,https://www.bbc.com/news/articles/cx2k5kxk3plo,2026-05-04 11:45:49
What is the hantavirus that has been confirmed on an Atlantic cruise ship?,https://www.bbc.com/news/articles/c8r8j1l6j0go,2026-05-04 11:45:49
Voters will judge Trump on the economy - how is it doing?,https://www.bbc.com/news/articles/cgepyv20vrpo,2026-05-04 11:45:49
The clandestine network smuggling Starlink tech into Iran to beat internet blackout,https://www.bbc.com/news/articles/cvgzk91leweo,2026-05-04 11:45:49
"From beds to LED masks, is the red light craze giving us more than just a warm glow?",https://www.bbc.com/news/articles/c2lw59jrdkxo,2026-05-04 11:45:49
